Math,CC.K.CC.1,K,CC,1,Know number names and the count sequence.,Count to 100 by ones and by tens.
Math,CC.K.CC.2,K,CC,2,Know number names and the count sequence.,Count forward beginning from a given number within the known sequence (instead of having to begin at 1).
Math,CC.K.CC.3,K,CC,3,Know number names and the count sequence.,Write numbers from 0 to 20. Represent a number of objects with a written numeral 0-20 (with 0 representing a count of no objects).
Math,CC.K.CC.4,K,CC,4,Count to tell the number of objects.,Understand the relationship between numbers and quantities; connect counting to cardinality.
Math,CC.K.CC.4a,K,CC,4a,Count to tell the number of objects.,"When counting objects, say the number names in the standard order, pairing each object with one and only one number name and each number name with one and only one object."
Math,CC.K.CC.4b,K,CC,4b,Count to tell the number of objects.,The number of objects is the same regardless of their arrangement or the order in which they were counted.
Math,CC.K.CC.4c,K,CC,4c,Count to tell the number of objects.,Understand that each successive number name refers to a quantity that is one larger.
Math,CC.K.CC.5,K,CC,5,Count to tell the number of objects.,"Count to answer “how many?” questions about as many as 20 things arranged in a line, a rectangular array, or a circle, or as many as 10 things in a scattered configuration; given a number from 1-20, count out that many objects."
Math,CC.K.CC.6,K,CC,6,Compare numbers.,"Identify whether the number of objects in one group is greater than, less than, or equal to the number of objects in another group, e.g., by using matching and counting strategies.  (Include groups with up to ten objects.)"
Math,CC.K.CC.7,K,CC,7,Compare numbers.,Compare two numbers between 1 and 10 presented as written numerals.
Math,CC.K.OA.1,K,OA,1,"Understand addition as putting together and adding to, and understand subtraction as taking apart and taking from.","Represent addition and subtraction with objects, fingers, mental images, drawings (drawings need not show details, but should show the mathematics in the problem),  sounds (e.g., claps), acting out situations, verbal explanations, expressions, or equations."
Math,CC.K.OA.2,K,OA,2,"Understand addition as putting together and adding to, and understand subtraction as taking apart and taking from.","Solve addition and subtraction word problems, and add and subtract within 10, e.g., by using objects or drawings to represent the problem."
Math,CC.K.OA.3,K,OA,3,"Understand addition as putting together and adding to, and understand subtraction as taking apart and taking from.","Decompose numbers less than or equal to 10 into pairs in more than one way, e.g., by using objects or drawings, and record each decomposition by a drawing or equation (e.g., 5 = 2 + 3 and 5 = 4 + 1)."
Math,CC.K.OA.4,K,OA,4,"Understand addition as putting together and adding to, and understand subtraction as taking apart and taking from.","For any number from 1 to 9, find the number that makes 10 when added to the given number, e.g., by using objects or drawings, and record the answer with a drawing or equation."
Math,CC.K.OA.5,K,OA,5,"Understand addition as putting together and adding to, and understand subtraction as taking apart and taking from.",Fluently add and subtract within 5.
